region,crops
north,"Wheat,Barley,Mustard,Potato"
north,"Rice,Sugarcane,Maize,Pulse"
north,"Cotton,Groundnut,Soybean,Sunflower"
north,"Fruits,Vegetables,Spices"
south,"Rice,Coconut,Spices,Rubber"
south,"Coffee,Tea,Cardamom,Pepper"
south,"Cotton,Sugarcane,Groundnut"
south,"Millets,Pulses,Oilseeds"
east,"Rice,Jute,Tea,Sugarcane"
east,"Potato,Wheat,Maize,Pulse"
east,"Fruits,Vegetables,Spices"
east,"Oilseeds,Pulses,Cereals"
west,"Cotton,Sugarcane,Groundnut"
west,"Wheat,Barley,Mustard"
west,"Fruits,Vegetables,Spices"
west,"Coffee,Tea,Spices"
central,"Wheat,Soybean,Chickpea"
central,"Rice,Pulse,Oilseeds"
central,"Cotton,Sugarcane,Maize"
